Lan boc,Test Size,Rate,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
1,0.2,0.2,5,6,actual_hyper_lin,lin_center_own,0.86,0.5,0.6557438524302001,0.45454545454545453,0.8,0.68,"[[43  7]
 [ 5  5]]"
1,0.2,0.2,1,4,actual_hyper_lin,exp,0.96,0.4,0.6196773353931867,0.5,0.8666666666666667,0.6799999999999999,"[[48  2]
 [ 6  4]]"
1,0.2,0.2,1,5,actual_hyper_lin,exp,0.96,0.4,0.6196773353931867,0.5,0.8666666666666667,0.6799999999999999,"[[48  2]
 [ 6  4]]"
1,0.2,0.2,1,6,actual_hyper_lin,exp,0.96,0.4,0.6196773353931867,0.5,0.8666666666666667,0.6799999999999999,"[[48  2]
 [ 6  4]]"
1,0.2,0.2,2,4,actual_hyper_lin,exp,0.96,0.6,0.758946638440411,0.6666666666666665,0.9,0.78,"[[48  2]
 [ 4  6]]"
1,0.2,0.2,2,5,actual_hyper_lin,exp,0.98,0.4,0.6260990336999411,0.5333333333333333,0.8833333333333333,0.69,"[[49  1]
 [ 6  4]]"
1,0.2,0.2,2,6,actual_hyper_lin,exp,0.98,0.4,0.6260990336999411,0.5333333333333333,0.8833333333333333,0.69,"[[49  1]
 [ 6  4]]"
1,0.2,0.2,3,4,actual_hyper_lin,exp,0.98,0.4,0.6260990336999411,0.5333333333333333,0.8833333333333333,0.69,"[[49  1]
 [ 6  4]]"
1,0.2,0.2,3,5,actual_hyper_lin,exp,0.98,0.4,0.6260990336999411,0.5333333333333333,0.8833333333333333,0.69,"[[49  1]
 [ 6  4]]"
1,0.2,0.2,3,6,actual_hyper_lin,exp,0.98,0.4,0.6260990336999411,0.5333333333333333,0.8833333333333333,0.69,"[[49  1]
 [ 6  4]]"
1,0.2,0.2,4,4,actual_hyper_lin,exp,0.96,0.6,0.758946638440411,0.6666666666666665,0.9,0.78,"[[48  2]
 [ 4  6]]"
1,0.2,0.2,4,5,actual_hyper_lin,exp,0.96,0.6,0.758946638440411,0.6666666666666665,0.9,0.78,"[[48  2]
 [ 4  6]]"
1,0.2,0.2,4,6,actual_hyper_lin,exp,0.96,0.6,0.758946638440411,0.6666666666666665,0.9,0.78,"[[48  2]
 [ 4  6]]"
1,0.2,0.2,5,4,actual_hyper_lin,exp,0.96,0.6,0.758946638440411,0.6666666666666665,0.9,0.78,"[[48  2]
 [ 4  6]]"
1,0.2,0.2,5,5,actual_hyper_lin,exp,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
1,0.2,0.2,5,6,actual_hyper_lin,exp,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
1,0.2,0.2,1,4,distance_center_own_opposite_tam,func_own_opp_new,0.88,0.4,0.593295878967653,0.4000000000000001,0.8,0.64,"[[44  6]
 [ 6  4]]"
1,0.2,0.2,1,5,distance_center_own_opposite_tam,func_own_opp_new,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.7000000000000001,"[[45  5]
 [ 5  5]]"
1,0.2,0.2,1,6,distance_center_own_opposite_tam,func_own_opp_new,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.7000000000000001,"[[45  5]
 [ 5  5]]"
1,0.2,0.2,2,4,distance_center_own_opposite_tam,func_own_opp_new,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.7000000000000001,"[[45  5]
 [ 5  5]]"
1,0.2,0.2,2,5,distance_center_own_opposite_tam,func_own_opp_new,0.92,0.6,0.7429670248402684,0.6,0.8666666666666667,0.7600000000000001,"[[46  4]
 [ 4  6]]"
1,0.2,0.2,2,6,distance_center_own_opposite_tam,func_own_opp_new,0.92,0.6,0.7429670248402684,0.6,0.8666666666666667,0.7600000000000001,"[[46  4]
 [ 4  6]]"
1,0.2,0.2,3,4,distance_center_own_opposite_tam,func_own_opp_new,0.92,0.6,0.7429670248402684,0.6,0.8666666666666667,0.7600000000000001,"[[46  4]
 [ 4  6]]"
1,0.2,0.2,3,5,distance_center_own_opposite_tam,func_own_opp_new,0.92,0.6,0.7429670248402684,0.6,0.8666666666666667,0.7600000000000001,"[[46  4]
 [ 4  6]]"
1,0.2,0.2,3,6,distance_center_own_opposite_tam,func_own_opp_new,0.92,0.6,0.7429670248402684,0.6,0.8666666666666667,0.7600000000000001,"[[46  4]
 [ 4  6]]"
1,0.2,0.2,4,4,distance_center_own_opposite_tam,func_own_opp_new,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
1,0.2,0.2,4,5,distance_center_own_opposite_tam,func_own_opp_new,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
1,0.2,0.2,4,6,distance_center_own_opposite_tam,func_own_opp_new,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
1,0.2,0.2,5,4,distance_center_own_opposite_tam,func_own_opp_new,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
1,0.2,0.2,5,5,distance_center_own_opposite_tam,func_own_opp_new,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
1,0.2,0.2,5,6,distance_center_own_opposite_tam,func_own_opp_new,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
1,0.2,0.2,1,4,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.3,0.5253570214625479,0.3529411764705882,0.8166666666666667,0.6100000000000001,"[[46  4]
 [ 7  3]]"
1,0.2,0.2,1,5,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.3,0.5253570214625479,0.3529411764705882,0.8166666666666667,0.6100000000000001,"[[46  4]
 [ 7  3]]"
1,0.2,0.2,1,6,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.3,0.5253570214625479,0.3529411764705882,0.8166666666666667,0.6100000000000001,"[[46  4]
 [ 7  3]]"
1,0.2,0.2,2,4,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.4,0.6066300355241241,0.4444444444444445,0.8333333333333334,0.66,"[[46  4]
 [ 6  4]]"
1,0.2,0.2,2,5,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.3,0.5253570214625479,0.3529411764705882,0.8166666666666667,0.6100000000000001,"[[46  4]
 [ 7  3]]"
1,0.2,0.2,2,6,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.4,0.6066300355241241,0.4444444444444445,0.8333333333333334,0.66,"[[46  4]
 [ 6  4]]"
1,0.2,0.2,3,4,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.3,0.5253570214625479,0.3529411764705882,0.8166666666666667,0.6100000000000001,"[[46  4]
 [ 7  3]]"
1,0.2,0.2,3,5,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.3,0.5253570214625479,0.3529411764705882,0.8166666666666667,0.6100000000000001,"[[46  4]
 [ 7  3]]"
1,0.2,0.2,3,6,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.3,0.5253570214625479,0.3529411764705882,0.8166666666666667,0.6100000000000001,"[[46  4]
 [ 7  3]]"
1,0.2,0.2,4,4,distance_center_own_opposite_tam,func_own_opp_new_v1,0.92,0.4,0.6066300355241241,0.4444444444444445,0.8333333333333334,0.66,"[[46  4]
 [ 6  4]]"
