Times,Rate,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
2,0.2,3,None,actual_hyper_lin,exp,0.88,0.4,0.593295878967653,0.4000000000000001,0.8,0.64,"[[44  6]
 [ 6  4]]"
2,0.2,3,None,distance_center_own_opposite_tam,func_own_opp_new,0.88,0.4,0.593295878967653,0.4000000000000001,0.8,0.64,"[[44  6]
 [ 6  4]]"
2,0.2,3,None,distance_center_own_opposite_tam,func_own_opp_new_v1,0.88,0.4,0.593295878967653,0.4000000000000001,0.8,0.64,"[[44  6]
 [ 6  4]]"
2,0.2,3,None,distance_center_own_opposite_tam,func_own_opp_new_v2,0.58,0.7,0.6371812928829597,0.3684210526315789,0.6,0.64,"[[29 21]
 [ 3  7]]"
2,0.2,3,1,own_class_center,lin_center_own,0.92,0.3,0.5253570214625479,0.3529411764705882,0.8166666666666667,0.6100000000000001,"[[46  4]
 [ 7  3]]"
2,0.2,3,1,own_class_center,exp,0.9,0.3,0.5196152422706632,0.33333333333333326,0.8,0.6000000000000001,"[[45  5]
 [ 7  3]]"
2,0.2,3,1,estimated_hyper_lin,lin_center_own,0.9,0.4,0.6000000000000001,0.4210526315789474,0.8166666666666667,0.65,"[[45  5]
 [ 6  4]]"
2,0.2,3,1,estimated_hyper_lin,exp,0.9,0.3,0.5196152422706632,0.33333333333333326,0.8,0.6000000000000001,"[[45  5]
 [ 7  3]]"
2,0.2,3,1,actual_hyper_lin,lin_center_own,0.52,0.8,0.644980619863884,0.38095238095238093,0.5666666666666667,0.66,"[[26 24]
 [ 2  8]]"
2,0.2,3,1,actual_hyper_lin,exp,0.86,0.4,0.5865151319446072,0.380952380952381,0.7833333333333333,0.63,"[[43  7]
 [ 6  4]]"
2,0.2,3,1,distance_center_own_opposite_tam,func_own_opp_new,0.88,0.5,0.6633249580710799,0.47619047619047616,0.8166666666666667,0.6900000000000001,"[[44  6]
 [ 5  5]]"
2,0.2,3,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.86,0.5,0.6557438524302001,0.45454545454545453,0.8,0.68,"[[43  7]
 [ 5  5]]"
2,0.2,3,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.58,0.7,0.6371812928829597,0.3684210526315789,0.6,0.64,"[[29 21]
 [ 3  7]]"
2,0.2,4,None,SVM,SVM,0.96,0.2,0.4381780460041329,0.28571428571428575,0.8333333333333334,0.58,"[[48  2]
 [ 8  2]]"
2,0.2,4,None,WSVM,WSVM,0.92,0.4,0.6066300355241241,0.4444444444444445,0.8333333333333334,0.66,"[[46  4]
 [ 6  4]]"
2,0.2,4,None,own_class_center,lin_center_own,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.7000000000000001,"[[45  5]
 [ 5  5]]"
