Test Size,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
29,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
30,own_class_center,exp,0.955555556,0.84,0.895916663,0.75,0.944,0.897777778,"[[215  10]
 [  4  21]]"
1,estimated_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
2,estimated_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
3,estimated_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
4,estimated_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
5,estimated_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
6,estimated_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
7,estimated_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
8,estimated_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
9,estimated_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
10,estimated_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
11,estimated_hyper_lin,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
